trajectory_num,start_x,start_y,end_x,end_y
1,80,0,154,0
2,80,1,154,1
3,80,2,154,2
4,80,3,154,3
5,80,4,154,4
6,80,5,154,5
7,80,6,154,6
8,80,7,154,7
9,80,8,154,8
10,80,9,154,9
11,80,10,154,10
12,80,11,154,11
13,80,12,154,12
14,80,13,154,13
15,80,14,154,14
16,80,15,154,15
17,80,16,154,16
18,80,17,154,17
19,80,18,154,18
20,80,19,154,19
21,80,20,154,20
22,80,21,154,21
23,80,22,154,22
24,80,23,154,23
25,80,24,154,24
26,80,25,154,25
27,80,26,154,26
28,80,27,154,27
29,80,28,154,28
30,80,29,154,29
31,80,30,154,30
32,80,31,154,31
33,80,32,154,32
34,80,33,154,33
35,80,34,154,34
36,80,35,154,35
37,80,36,154,36
38,80,37,154,37
39,80,38,154,38
40,80,39,154,39
41,80,40,154,40
42,80,41,154,41
43,80,42,154,42
44,80,43,154,43
45,80,44,154,44
46,80,45,154,45
47,80,46,154,46
48,80,47,154,47
49,80,48,154,48
50,80,49,154,49
51,80,50,154,50
52,80,51,154,51
53,80,52,154,52
54,80,53,154,53
55,80,54,154,54
56,80,55,154,55
57,80,56,154,56
58,80,57,154,57
59,80,58,154,58
60,80,59,154,59
61,80,60,154,60
62,80,61,154,61
63,80,62,154,62
64,80,63,154,63
65,80,64,154,64
66,80,65,154,65
67,80,66,154,66
68,80,67,154,67
69,80,68,154,68
70,80,69,154,69
71,80,70,154,70
72,80,71,154,71
73,80,72,154,72
74,80,73,154,73
75,80,74,154,74
76,80,75,78,75
