trajectory_num,start_x,start_y,end_x,end_y
1,159,36,119,36
2,111,70,116,70
3,97,44,92,44
4,107,25,107,25
5,133,64,148,64
6,117,59,97,59
7,129,53,139,53
8,158,49,148,49
9,123,17,153,17
10,148,32,158,32
11,100,43,145,43
12,152,25,157,25
13,142,13,122,13
14,128,48,123,48
15,133,31,118,31
16,137,29,127,29
17,123,2,113,2
18,131,42,121,42
19,133,11,98,11
20,91,63,81,63
21,90,16,105,16
22,103,42,73,42
23,115,45,105,45
24,121,3,141,3
25,111,75,106,75
26,135,42,110,42
27,131,62,121,62
28,129,57,134,57
29,101,65,96,65
30,100,12,110,12
31,100,71,90,71
32,135,42,165,42
33,113,71,103,71
34,95,34,70,34
35,141,71,136,71
36,116,74,121,74
37,86,54,86,54
38,124,32,129,32
39,125,11,135,11
40,150,39,130,39
41,95,70,105,70
42,116,59,96,59
43,86,22,91,22
44,94,6,94,6
45,132,55,142,55
46,142,52,152,52
47,137,6,147,6
48,123,12,123,12
49,103,4,108,4
50,92,57,97,57
51,110,7,110,7
52,105,8,90,8
53,119,60,124,60
54,159,62,174,62
55,146,32,176,32
56,143,68,138,68
57,157,17,162,17
58,133,42,133,42
59,150,28,155,28
60,112,36,97,36
61,83,1,88,1
62,124,30,124,30
63,105,31,90,31
64,94,21,119,21
65,93,72,53,72
66,114,53,89,53
67,157,10,152,10
68,135,42,155,42
69,113,63,113,63
70,86,64,111,64
71,152,2,137,2
72,117,1,132,1
73,99,48,119,48
74,147,35,177,35
75,157,55,152,55
76,133,35,123,35
77,146,73,146,73
78,144,70,139,70
79,92,14,87,14
80,121,42,121,42
81,157,30,132,30
82,127,1,132,1
83,157,27,157,27
84,89,27,84,27
85,116,36,121,36
86,153,68,128,68
87,86,32,76,32
88,145,51,135,51
89,112,46,112,46
90,84,33,69,33
91,130,34,115,34
92,84,53,84,53
93,113,39,108,39
94,141,68,126,68
95,149,67,174,67
96,154,47,139,47
97,81,20,81,20
98,132,41,167,41
99,121,21,116,21
100,158,39,138,39
